id;kod;nev
2;1;Bakóca
3;10;Kisbeszterce
4;100;Sellye
5;1000;Almáskamarás
6;1001;Battonya
7;1002;Dombegyház
8;1003;Dombiratos
9;1004;Elek
10;1005;Gyula
11;1007;Kaszaper
12;1008;Kevermes
13;1009;Kétegyháza
14;101;Sósvertike
15;1010;Kisdombegyház
16;1011;Kötegyán
17;1012;Kunágota
18;1013;Lőkösháza
19;1014;Magyarbánhegyes
20;1015;Magyardombegyház
21;1016;Medgyesbodzás
22;1017;Medgyesegyháza
23;1018;Mezőhegyes
24;1019;Mezőkovácsháza
25;102;Sumony
26;1020;Méhkerék
27;1021;Nagybánhegyes
28;1022;Nagykamarás
29;1023;Pusztaottlaka
30;1025;Sarkadkeresztúr
31;1026;Szabadkígyós
32;1027;Újkígyós
33;1028;Újszalonta
34;1029;Végegyháza
35;103;Szentdénes
36;1030;Békés
37;1031;Békéscsaba
38;1032;Békéssámson
39;1033;Békésszentandrás
40;1034;Csabacsűd
41;1035;Csanádapáca
42;1036;Csorvás
43;1037;Doboz
44;1038;Gyomaendrőd
45;1039;Gádoros
46;104;Szörény
47;1040;Gerendás
48;1043;Hunya
49;1044;Kamut
50;1045;Kardoskút
51;1046;Kétsoprony
52;1047;Kondoros
53;1049;Murony
54;105;Teklafalu
55;1051;Nagyszénás
56;1052;Orosháza
57;1053;Örménykút
58;1054;Pusztaföldvár
59;1055;Sarkad
60;1056;Szarvas
61;1057;Telekgerendás
62;1058;Tótkomlós
63;1059;Bélmegyer
64;106;Tótszentgyörgy
65;1060;Csárdaszállás
66;1061;Köröstarcsa
67;1062;Mezőberény
68;1063;Tarhos
69;1064;Biharugra
70;1065;Bucsa
71;1066;Dévaványa
72;1067;Ecsegfalva
73;1068;Füzesgyarmat
74;1069;Geszt
75;107;Várad
76;1070;Kertészsziget
77;1071;Körösladány
78;1072;Körösnagyharsány
79;1073;Körösújfalu
80;1074;Mezőgyán
81;1075;Okány
82;1076;Szeghalom
83;1077;Vésztő
84;1078;Zsadány
85;1079;Kardos
86;108;Zaláta
87;1080;Csabaszabadi
88;109;Zádor
89;110;Adorjás
90;111;Alsószentmárton
91;112;Babarcszőlős
92;113;Baksa
93;114;Baranyahídvég
94;115;Beremend
95;116;Besence
96;117;Bisse
97;118;Bogádmindszent
98;119;Cún
99;12;Meződ
100;120;Csarnóta
101;121;Diósviszló
102;122;Drávacsehi
103;123;Drávacsepely
104;124;Drávapalkonya
105;125;Drávapiski
106;126;Drávaszabolcs
107;127;Drávaszerdahely
108;128;Egyházasharaszti
109;129;Garé
110;13;Palé
111;130;Gerde
112;131;Gilvánfa
113;132;Gordisa
114;133;Görcsöny
115;134;Harkány
116;135;Hegyszentmárton
117;136;Hirics
118;137;Illocska
119;138;Ipacsfa
120;139;Ivánbattyán
121;14;Sásd
122;140;Kásád
123;141;Kémes
124;142;Kisasszonyfa
125;143;Kisdér
126;144;Kisharsány
127;145;Kisjakabfalva
128;146;Kisszentmárton
129;147;Kistapolca
130;148;Kistótfalu
131;149;Kórós
132;15;Szágy
133;150;Kovácshida
134;1500;Alsóberecki
135;1501;Bodroghalom
136;1502;Bodrogolaszi
137;1503;Cigánd
138;1504;Dámóc
139;1505;Felsőberecki
140;1506;Györgytarló
141;1507;Karcsa
142;1508;Karos
143;1509;Kenézlő
144;151;Lapáncsa
145;1510;Kisrozvágy
146;1511;Lácacséke
147;1512;Nagyrozvágy
148;1513;Olaszliszka
149;1514;Pácin
150;1515;Révleányvár
151;1516;Ricse
152;1517;Sárazsadány
153;1519;Sátoraljaújhely
154;152;Lúzsok
155;1520;Semjén
156;1521;Tiszacsermely
157;1522;Tiszakarád
158;1523;Vajdácska
159;1524;Vámosújfalu
160;1525;Viss
161;1526;Zalkod
162;1527;Zemplénagárd
163;1528;Alsóregmec
164;1529;Háromhuta
165;153;Magyarbóly
166;1530;Hercegkút
167;1531;Sátoraljaújhely-Károlyfalva
168;1532;Komlóska
169;1533;Makkoshotyka
170;1534;Nagyhuta
171;1535;Sátoraljaújhely-Rudabányácska
172;1537;Baskó
173;1538;Erdőhorváti
174;1539;Mogyoróska
175;154;Magyarmecske
176;1540;Regéc
177;1541;Tolcsva
178;1544;Kishuta
179;1545;Kovácsvágás
180;1546;Mikóháza
181;1547;Pálháza
182;1548;Vágáshuta
183;1549;Felsőregmec
184;155;Magyartelek
185;1550;Filkeháza
186;1551;Füzér
187;1552;Füzérkajata
188;1553;Füzérkomlós
189;1554;Füzérradvány
190;1555;Hollóháza
191;1556;Nyíri
192;1557;Pusztafalu
193;1558;Vilyvitány
194;1559;Abaújvár
195;156;Matty
196;1560;Fony
197;1561;Gönc
198;1562;Kéked
199;1563;Pányok
